ctype,FT-O-AugMix,Baseline (fc-O),FT-O,FT-F20,FT-F20C,FT-F20C-AugMix,FT-F5C,FT-F100C,FT-FALLC,FT-FALLC-AugMix
brightness,1.180866966,0.1338,0.829596413,1.411061286,0.881913303,1.025411061,0.802690583,1.418535127,1.11509716,1.137518685
contrast,0.969927997,0.4722,0.989411266,1.001270648,0.776789496,0.788648878,0.885218128,0.711139348,0.646759848,0.675561203
defocus_blur,1.112745098,0.408,1.178431373,1.453431373,1.007843137,1.063235294,0.909803922,1.160784314,1.048039216,0.926960784
elastic_transform,0.908360129,0.2488,0.740353698,0.986334405,0.721061093,0.909967846,0.776527331,0.920418006,0.759646302,0.91318328
fog,0.680633623,0.3914,0.731221257,0.718446602,0.574348493,0.586612161,0.710781809,0.644353602,0.572815534,0.632089934
frost,1.096519722,0.431,0.953596288,0.994895592,0.625986079,0.832018561,0.788399072,0.735962877,0.606032483,0.824593968
gaussian_noise,1.16906032,0.4874,1.238407879,1.315962249,0.857201477,0.935166188,1.245794009,0.719737382,0.566270004,0.594583504
glass_blur,1.054395338,0.4118,1.036425449,1.108305002,0.849927149,0.902865469,0.855755221,1.010199126,0.835842642,0.869839728
impulse_noise,1.17075852,0.5458,1.226456578,1.327958959,0.810553316,0.873580066,1.211066325,0.718944668,0.563576402,0.542323195
jpeg_compression,1.091123331,0.2546,0.791830322,0.982717989,0.706205813,0.93008641,0.75333857,0.794972506,0.759622938,0.809112333
motion_blur,0.839518072,0.415,0.96,1.053493976,0.768192771,0.793253012,0.811566265,0.890120482,0.830843373,0.803373494
pixelate,0.788768347,0.3134,0.654754308,0.742820676,0.573707722,0.760689215,0.65858328,0.650925335,0.624760689,0.741544352
shot_noise,1.131464666,0.5066,1.239242006,1.349782866,0.902487169,0.936833794,1.266482432,0.731938413,0.602842479,0.616660087
snow,0.966230477,0.4738,0.891515407,0.950189954,0.776699029,0.825664837,0.873786408,0.853524694,0.715913888,0.943436049
zoom_blur,0.798744957,0.4462,0.976692066,1.029134917,0.836396235,0.772299417,0.817122367,0.887494397,0.844464366,0.797400269
speckle_noise,1.131362094,0.4126,1.279205041,1.489578284,0.896752302,0.866214251,1.326223946,0.744062046,0.608337373,0.626272419
gaussian_blur,1.117866667,0.375,1.154133333,1.439466667,0.985066667,1.077866667,0.914133333,1.146133333,1.021866667,0.9456
spatter,1.047588424,0.311,0.908681672,1.147266881,0.821864952,0.890675241,0.810289389,0.870096463,0.679099678,0.80192926
saturate,1.048710602,0.2094,1.092645654,1.621776504,0.975167144,1.022922636,0.996179561,1.361986628,1.128939828,1.159503343
Clean,0.091,0.085,0.075,0.127,0.075,0.094,0.063,0.1,0.08,0.096
MCE,1.016033966,0.381463158,0.993294737,1.164415517,0.807798071,0.883895316,0.916512734,0.893227829,0.764777414,0.808499257
